"L_Gene"	"L_ident"	"L_celltype"	"L_cluster"	"L_MeanUMI"	"R_Gene"	"R_ident"	"R_celltype"	"R_cluster"	"R_MeanUMI"	"Str"
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_3_Cd74"	"epi_R_3"	"TA.Early"	3	1.21262167248908	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_4_Cd74"	"epi_R_4"	"M.cell.Progenitor.1"	4	2.11458268950617	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_5_Cd74"	"epi_R_5"	"Goblet"	5	0.723980662015504	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_6_Cd74"	"epi_R_6"	"Enterocyte.2"	6	1.18329470966894	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_7_Cd74"	"epi_R_7"	"Tuft"	7	1.13618745168539	0.0122768513012814
"pp_L_1_App"	"pp_L_1"	"MPs"	1	0.565243644009217	"epi_R_8_Cd74"	"epi_R_8"	"M.cell"	8	0.65994070703125	0.0122768513012814
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_1_Lrp1"	"epi_R_1"	"Endocrine"	1	0.318558839100346	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_2_Lrp1"	"epi_R_2"	"Enterocyte.Progenitor"	2	0.282781736139456	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_4_Lrp1"	"epi_R_4"	"M.cell.Progenitor.1"	4	0.339468911111111	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_5_Lrp1"	"epi_R_5"	"Goblet"	5	0.362645933333333	0.00274043734240656
"pp_L_0_App"	"pp_L_0"	"DCs"	0	0.267055869825708	"epi_R_7_Lrp1"	"epi_R_7"	"Tuft"	7	0.234390125617978	0.00274043734240656
