L_Gene	L_ident	L_MeanUMI	R_Gene	R_ident	R_MeanUMI	Str
pp_L_1_App	pp_L_1	0.565243644009217	epi_R_4_F11r	epi_R_4	0.27837125443038	0.0189352798919296
pp_L_1_App	pp_L_1	0.565243644009217	epi_R_5_F11r	epi_R_5	0.332622204504505	0.0189352798919296
pp_L_1_App	pp_L_1	0.565243644009217	epi_R_6_F11r	epi_R_6	0.866368260159363	0.0189352798919296
pp_L_0_Anxa1	pp_L_0	0.466698622331155	epi_R_1_F11r	epi_R_1	0.339669138198198	0.0129084290399978
pp_L_0_Anxa1	pp_L_0	0.466698622331155	epi_R_2_F11r	epi_R_2	0.363637634726143	0.0129084290399978
pp_L_0_Anxa1	pp_L_0	0.466698622331155	epi_R_3_F11r	epi_R_3	0.486436020930233	0.0129084290399978
pp_L_0_Anxa1	pp_L_0	0.466698622331155	epi_R_4_F11r	epi_R_4	0.27837125443038	0.0129084290399978
pp_L_0_Anxa1	pp_L_0	0.466698622331155	epi_R_5_F11r	epi_R_5	0.332622204504505	0.0129084290399978
pp_L_0_Anxa1	pp_L_0	0.466698622331155	epi_R_6_F11r	epi_R_6	0.866368260159363	0.0129084290399978
pp_L_1_Anxa1	pp_L_1	0.220599758294931	epi_R_1_F11r	epi_R_1	0.339669138198198	0.00288410069022093
pp_L_1_Anxa1	pp_L_1	0.220599758294931	epi_R_2_F11r	epi_R_2	0.363637634726143	0.00288410069022093
pp_L_1_Anxa1	pp_L_1	0.220599758294931	epi_R_3_F11r	epi_R_3	0.486436020930233	0.00288410069022093
pp_L_1_Anxa1	pp_L_1	0.220599758294931	epi_R_4_F11r	epi_R_4	0.27837125443038	0.00288410069022093
pp_L_1_Anxa1	pp_L_1	0.220599758294931	epi_R_5_F11r	epi_R_5	0.332622204504505	0.00288410069022093
pp_L_1_Anxa1	pp_L_1	0.220599758294931	epi_R_6_F11r	epi_R_6	0.866368260159363	0.00288410069022093
pp_L_0_B2m	pp_L_0	3.41352066339869	epi_R_2_Tfrc	epi_R_2	0.289364061038961	0.690566372398881
pp_L_0_B2m	pp_L_0	3.41352066339869	epi_R_3_Tfrc	epi_R_3	0.264997139534884	0.690566372398881
pp_L_0_B2m	pp_L_0	3.41352066339869	epi_R_4_Tfrc	epi_R_4	0.296970285316456	0.690566372398881
pp_L_0_B2m	pp_L_0	3.41352066339869	epi_R_5_Tfrc	epi_R_5	0.327040815315315	0.690566372398881
pp_L_1_B2m	pp_L_1	4.1077104516129	epi_R_2_Tfrc	epi_R_2	0.289364061038961	1
