L_Gene	L_ident	L_MeanUMI	R_Gene	R_Ident	R_MeanUMI	Str
epi_L_1_Nts_Psap	epi_L_1	1.07511658324324	epi_R_2_Sort1	epi_R_2	0.604668402936194	0.0375373200191394
epi_L_1_B2m	epi_L_1	2.60976518162162	epi_R_2_Tfrc	epi_R_2	0.289364061038961	0.4036483850611
epi_L_1_Gnas_Ptma_Sct	epi_L_1	4.48705324396396	epi_R_2_Vipr1	epi_R_2	0.906009065047995	0.431562629820015
epi_L_1_Mmp7	epi_L_1	0.40121393009009	epi_R_3_Cd151	epi_R_3	0.501633552325581	0.00954008755416606
epi_L_1_Gip	epi_L_1	1.50600264666667	epi_R_3_Dpp4	epi_R_3	0.399431754069767	0.134416265180606
epi_L_1_Efnb1	epi_L_1	0.314317023963964	epi_R_3_Erbb2	epi_R_3	0.293661476744186	0.00585512487047879
epi_L_1_Ptma_Gnas_Guca2a_Guca2b_Pdap1_Vasp_Hras_Psap_Calr_Apoc3_Gnai2_Arf1_Lgals3bp_Apob_Hsp90aa1_App_Sema4g	epi_L_1	16.5104211371171	epi_R_3_F11r	epi_R_3	8.26941235581396	1.33057132235639
epi_L_1_Calr	epi_L_1	2.01519295027027	epi_R_3_Itga3	epi_R_3	0.221453471511628	0.240676465174686
epi_L_1_App_Apoc3_Calr_Psap	epi_L_1	3.73913231837838	epi_R_3_Lrp1	epi_R_3	1.35832656976744	0.301114611723811
epi_L_1_Apob	epi_L_1	0.468902830990991	epi_R_3_Lsr	epi_R_3	1.13620540813953	0.0130306495090238
epi_L_1_App	epi_L_1	0.465133821441441	epi_R_3_Ncstn	epi_R_3	0.257159048255814	0.0128220124220276
epi_L_1_Sema4g	epi_L_1	0.402736764144144	epi_R_3_Plxnb2	epi_R_3	0.41838466744186	0.00961264506052984
epi_L_1_Nts_Psap	epi_L_1	1.07511658324324	epi_R_3_Sort1	epi_R_3	0.529397002325582	0.0375373200191394
epi_L_1_B2m	epi_L_1	2.60976518162162	epi_R_3_Tfrc	epi_R_3	0.264997139534884	0.4036483850611
epi_L_1_Gnas_Ptma_Sct	epi_L_1	4.48705324396396	epi_R_3_Vipr1	epi_R_3	1.52814807383721	0.431562629820015
epi_L_1_Mmp7	epi_L_1	0.40121393009009	epi_R_4_Cd151	epi_R_4	0.362295202531646	0.00954008755416606
epi_L_1_Mmp7_Pkm	epi_L_1	1.47228418576577	epi_R_4_Cd44	epi_R_4	0.680069260253164	0.0775287146711271
epi_L_1_Hsp90aa1	epi_L_1	0.698892513333333	epi_R_4_Cftr	epi_R_4	0.398415504556962	0.0289481710720215
epi_L_1_Ptma_Gnas_Guca2a_Guca2b_Pdap1_Vasp_Hras_Psap_Calr_Apoc3_Gnai2_Arf1_Lgals3bp_Apob_Hsp90aa1_App_Sema4g	epi_L_1	16.5104211371171	epi_R_4_F11r	epi_R_4	4.73231132531646	1.33057132235639
epi_L_1_Apob	epi_L_1	0.468902830990991	epi_R_4_Lsr	epi_R_4	1.33693100708861	0.0130306495090238
epi_L_1_Nts_Psap	epi_L_1	1.07511658324324	epi_R_4_Sort1	epi_R_4	0.634351794936708	0.0375373200191394
epi_L_1_B2m	epi_L_1	2.60976518162162	epi_R_4_Tfrc	epi_R_4	0.296970285316456	0.4036483850611
epi_L_1_Mmp7	epi_L_1	0.40121393009009	epi_R_5_Cd151	epi_R_5	0.420846072072072	0.00954008755416606
epi_L_1_Hsp90aa1	epi_L_1	0.698892513333333	epi_R_5_Cftr	epi_R_5	0.337460547747748	0.0289481710720215
epi_L_1_Efnb1	epi_L_1	0.314317023963964	epi_R_5_Ephb2	epi_R_5	0.228094179279279	0.00585512487047879
epi_L_1_Ptma_Gnas_Guca2a_Guca2b_Pdap1_Vasp_Hras_Psap_Calr_Apoc3_Gnai2_Arf1_Lgals3bp_Apob_Hsp90aa1_App_Sema4g	epi_L_1	16.5104211371171	epi_R_5_F11r	epi_R_5	5.65457747657659	1.33057132235639
epi_L_1_Apob	epi_L_1	0.468902830990991	epi_R_5_Lsr	epi_R_5	1.30868768108108	0.0130306495090238
epi_L_1_Sema4g	epi_L_1	0.402736764144144	epi_R_5_Plxnb2	epi_R_5	0.264325653153153	0.00961264506052984
epi_L_1_Nts_Psap	epi_L_1	1.07511658324324	epi_R_5_Sort1	epi_R_5	0.607192363963964	0.0375373200191394
epi_L_1_B2m	epi_L_1	2.60976518162162	epi_R_5_Tfrc	epi_R_5	0.327040815315315	0.4036483850611
epi_L_1_Gnas_Ptma_Sct	epi_L_1	4.48705324396396	epi_R_5_Vipr1	epi_R_5	1.00149871351351	0.431562629820015
epi_L_1_Gpi1	epi_L_1	0.80399795009009	epi_R_6_Amfr	epi_R_6	0.256132445418327	0.0383098310636162
epi_L_1_Mmp7	epi_L_1	0.40121393009009	epi_R_6_Cd151	epi_R_6	0.433407628286853	0.00954008755416606
epi_L_1_Efnb1	epi_L_1	0.314317023963964	epi_R_6_Ephb2	epi_R_6	0.339533251394422	0.00585512487047879
epi_L_1_Ptma_Gnas_Guca2a_Guca2b_Pdap1_Vasp_Hras_Psap_Calr_Apoc3_Gnai2_Arf1_Lgals3bp_Apob_Hsp90aa1_App_Sema4g	epi_L_1	16.5104211371171	epi_R_6_F11r	epi_R_6	14.7282604227092	1.33057132235639
epi_L_1_Apob	epi_L_1	0.468902830990991	epi_R_6_Ldlr	epi_R_6	0.236570114342629	0.0130306495090238
epi_L_1_Apob	epi_L_1	0.468902830990991	epi_R_6_Lsr	epi_R_6	1.28739983346614	0.0130306495090238
epi_L_1_App	epi_L_1	0.465133821441441	epi_R_6_Ncstn	epi_R_6	0.328466162151394	0.0128220124220276
epi_L_1_Arf1	epi_L_1	1.01264617873874	epi_R_6_Pld2	epi_R_6	0.233044883266932	0.060773718569763
